"","name","type","geometry"
"343","Theatre: Haus der Berliner Festspiele","theatre",c(13.3286934046356, 52.4984950838165)
"344","Theatre: Bar jeder Vernunft","theatre",c(13.3295864836617, 52.4980081057293)
"345","Theatre: Konzertsaal","theatre",c(13.3281600111929, 52.5089209193784)
"346","Theatre: Schlosspark Theater","theatre",c(13.3177788123512, 52.4548844258222)
"347","Theatre: Figurentheater Grashüpfer","theatre",c(13.4661807221646, 52.4916724704065)
"348","Theatre: Freie Volksbühne Berlin","theatre",c(13.3082073604939, 52.4913266759038)
"349","Theatre: MEINE BÜHNE Kinder & JugendTheater","theatre",c(13.4610762171662, 52.5123525259648)
"350","Theatre: Theaterzelt","theatre",c(13.406464911231, 52.4205445805302)
"351","Theatre: Kindl-Bühne Wuhlheide","theatre",c(13.5454650428281, 52.4623391352382)
"352","Theatre: Stage Theater des Westens","theatre",c(13.3289955754694, 52.5058914126316)
"353","Theatre: FELD Theater für junges Publikum","theatre",c(13.3553340114495, 52.4964519735405)
"354","Theatre: HAU 1 (Hebbel am Ufer)","theatre",c(13.3871493999018, 52.4999526175349)
"355","Theatre: Stadttheater Cöpenick","theatre",c(13.584062134802, 52.451419899495)
"356","Theatre: Tiyatrom","theatre",c(13.3993044439822, 52.5038084547959)
"357","Theatre: Konzertbühne","theatre",c(13.5261090983717, 52.4988939677158)
"358","Theatre: Zilles Stubentheater","theatre",c(13.5778829245901, 52.4457332803673)
"359","Theatre: Theater Adlershof","theatre",c(13.5391770173639, 52.4336279424235)
"360","Theatre: Glaskasten","theatre",c(13.3860587961606, 52.5578987666279)
"361","Theatre: Kinder-Zirkus Cabuwazi","theatre",c(13.5326726318021, 52.403919793622)
"362","Theatre: Café Theater Schalotte","theatre",c(13.3033634496144, 52.5166657523712)
"363","Theatre: Madi - Zelt der Sinne","theatre",c(13.2935191345311, 52.5756351340846)
"364","Theatre: Konzerthaus Berlin","theatre",c(13.3918158842955, 52.513584022792)
"365","Theatre: Sommerbühne","theatre",c(13.3813571430991, 52.4536520388562)
"366","Theatre: Theatersaal","theatre",c(13.3810720507719, 52.4539184427324)
"367","Theatre: Max-Taut-Aula","theatre",c(13.4862513622523, 52.5012261922784)
"368","Theatre: Tipi am Kanzleramt","theatre",c(13.3671641690225, 52.5184445187748)
"369","Theatre: Theater 28","theatre",c(13.3863943527863, 52.5578139867093)
"370","Theatre: Kammermusiksaal","theatre",c(13.3689945187319, 52.509349350548)
"371","Theatre: Astrid-Lindgren-Bühne","theatre",c(13.5490101132025, 52.4610437011861)
"372","Theatre: Freilichtbühne Spandau","theatre",c(13.2167642417996, 52.5398510510264)
"373","Theatre: Schillertheater","theatre",c(13.3187066711255, 52.5116290430498)
"374","Theatre: Berliner Ensemble","theatre",c(13.3856187406471, 52.5221705750844)
"375","Theatre: Arena","theatre",c(13.571527648129, 52.5387306788894)
"376","Theatre: Biesdorfer Parkbühne","theatre",c(13.5591267889183, 52.51172063958)
"377","Theatre: Kinder- und Jugendzirkus Cabuwazi Tempelhof - Der Kulturflughafen","theatre",c(13.4017524665276, 52.4819604123405)
"378","Theatre: Freilicht Klassenzimmer","theatre",c(13.2906287988984, 52.4594488177971)
"379","Theatre: Juxirkus","theatre",c(13.3480800067105, 52.4946989468664)
"380","Theatre: Kinderzirkus Aron","theatre",c(13.6166099938366, 52.4566753579493)
"381","Theatre: Erlebniscircus Neukölln","theatre",c(13.4390456550567, 52.4380370247451)
"382","Nightclub: Junction-Bar","nightlife",c(13.3931533, 52.4913696)
"383","Nightclub: Sky Club","nightlife",c(13.4163878, 52.523279)
"384","Nightclub: Quasimodo","nightlife",c(13.3283341, 52.5059134)
"385","Nightclub: Lumumba","nightlife",c(13.423726, 52.5202909)
"386","Nightclub: Matrix","nightlife",c(13.4490212, 52.5046782)
"387","Nightclub: Lido","nightlife",c(13.4450748, 52.4992172)
"388","Nightclub: Humboldthain Club","nightlife",c(13.3787124, 52.5441625)
"389","Nightclub: Narva Lounge","nightlife",c(13.4489112, 52.5045582)
"390","Nightclub: Wild at Heart","nightlife",c(13.4310967, 52.4974686)
"391","Nightclub: Clärchens Ballhaus","nightlife",c(13.39691, 52.5264743)
"392","Nightclub: Sun Chiller Lounge","nightlife",c(13.441495, 52.5179462)
"393","Nightclub: Postbahnhof","nightlife",c(13.4363946, 52.5086309)
"394","Nightclub: arena Berlin","nightlife",c(13.4540533, 52.49694)
"395","Nightclub: Glashaus","nightlife",c(13.4530728, 52.4973833)
"396","Nightclub: Zur Wilden Renate","nightlife",c(13.4653065, 52.4973901)
"397","Nightclub: RAW 99","nightlife",c(13.454537, 52.5076615)
"398","Nightclub: Toast Hawaii","nightlife",c(13.4130081, 52.5410639)
"399","Nightclub: CP Club Berlin","nightlife",c(13.4730809, 52.5094836)
"400","Nightclub: Calabash","nightlife",c(13.4007592, 52.5336193)
"401","Nightclub: Sage","nightlife",c(13.4169088, 52.5110197)
"402","Nightclub: NBI Club","nightlife",c(13.401179, 52.53567)
"403","Nightclub: Kit Kat Club","nightlife",c(13.4169157, 52.5112074)
"404","Nightclub: 1820","nightlife",c(13.4107269, 52.5267887)
"405","Nightclub: Insomnia","nightlife",c(13.3860876, 52.4655581)
"406","Nightclub: U5","nightlife",c(13.452579, 52.5156316)
"407","Nightclub: K133 Night Lounge","nightlife",c(13.2932442, 52.4972653)
"408","Nightclub: Ballhaus Berlin","nightlife",c(13.380294, 52.5320796)
"409","Nightclub: Club R8","nightlife",c(13.3899406, 52.5162131)
"410","Nightclub: Musik & Frieden","nightlife",c(13.4448537, 52.5008104)
"411","Nightclub: SchwuZ","nightlife",c(13.4337947, 52.4793708)
"412","Nightclub: Traffic","nightlife",c(13.4167905, 52.5228981)
"413","Nightclub: Havanna Club","nightlife",c(13.3534485, 52.4852704)
"414","Nightclub: Huxleys Neue Welt","nightlife",c(13.4217418, 52.4864896)
"415","Nightclub: Ritter Butzke","nightlife",c(13.4080737, 52.5029631)
"416","Nightclub: The Pearl","nightlife",c(13.3280883, 52.5050011)
"417","Nightclub: Silverwings","nightlife",c(13.390553, 52.4835867)
"418","Nightclub: Golden Gate","nightlife",c(13.3022495, 52.5054899)
"419","Nightclub: am to pm","nightlife",c(13.4034635, 52.5229379)
"420","Nightclub: Hafenbar","nightlife",c(13.4075481, 52.5217615)
"421","Nightclub: Weekend Club","nightlife",c(13.4164231, 52.5229029)
"422","Nightclub: Soda Club","nightlife",c(13.4142448, 52.5395232)
"423","Nightclub: Club Maitresse","nightlife",c(13.415789, 52.553279)
"424","Nightclub: Watergate","nightlife",c(13.445176, 52.5010412)
"425","Nightclub: Nuke Club","nightlife",c(13.471725, 52.5183382)
"426","Nightclub: Asphalt","nightlife",c(13.3932376, 52.5121321)
"427","Nightclub: Die Busche","nightlife",c(13.448261, 52.503615)
"428","Nightclub: Prince Charles","nightlife",c(13.4087274, 52.5032996)
"429","Nightclub: Caribic Modelle","nightlife",c(13.38507, 52.555462)
"430","Nightclub: Puro Sky Lounge Berlin","nightlife",c(13.3379413, 52.5040556)
"431","Nightclub: Das Hotel","nightlife",c(13.4203676, 52.4965979)
"432","Nightclub: Grüner Salon","nightlife",c(13.4122202, 52.5269462)
"433","Nightclub: Roter Salon","nightlife",c(13.4116224, 52.5271131)
"434","Nightclub: E4 Club Berlin","nightlife",c(13.3730554, 52.5069035)
"435","Nightclub: Tangoloft","nightlife",c(13.3735356, 52.5451106)
"436","Nightclub: Triplex Club","nightlife",c(13.4727613, 52.5136642)
"437","Nightclub: Bi Nuu","nightlife",c(13.4414613, 52.5007558)
"438","Nightclub: ReMix","nightlife",c(13.4982998, 52.4192321)
"439","Nightclub: Tollhaus","nightlife",c(13.499794, 52.531751)
"440","Nightclub: Bunte Kuh","nightlife",c(13.4701935, 52.5574429)
"441","Nightclub: Trust","nightlife",c(13.4007894, 52.5224064)
"442","Nightclub: Connection","nightlife",c(13.3424821, 52.4990535)
"443","Nightclub: FluxBau","nightlife",c(13.4411582, 52.5029678)
"444","Nightclub: Vagabund Club","nightlife",c(13.3223978, 52.5040624)
"445","Nightclub: Farbfernseher","nightlife",c(13.4242521, 52.4993312)
"446","Nightclub: Slaughterhouse","nightlife",c(13.3597082, 52.5344022)
"447","Nightclub: Orchidea","nightlife",c(13.3672515, 52.551145)
"448","Nightclub: Privatclub","nightlife",c(13.4348491, 52.5000715)
"449","Nightclub: Metrom Lounge","nightlife",c(13.4474984, 52.5029659)
"450","Nightclub: Cheshire Cat","nightlife",c(13.331101, 52.5008799)
"451","Nightclub: Amber Suite","nightlife",c(13.3848147, 52.4536189)
"452","Nightclub: hausungarn","nightlife",c(13.4061329, 52.5211185)
"453","Nightclub: Maxxim Club","nightlife",c(13.3308361, 52.5019061)
"454","Nightclub: Cortina Bob","nightlife",c(13.4351165, 52.4961326)
"455","Nightclub: Auster-Club","nightlife",c(13.4311437, 52.502437)
"456","Nightclub: The Zone","nightlife",c(13.4293652, 52.4810266)
"457","Nightclub: Ohm","nightlife",c(13.4202492, 52.510504)
"458","Nightclub: Flow Bar","nightlife",c(13.393681, 52.5261173)
"459","Nightclub: Konzulát","nightlife",c(13.3961493, 52.5112236)
"460","Nightclub: Alte Kantine","nightlife",c(13.4136703, 52.5396381)
"461","Nightclub: Comet","nightlife",c(13.4447011, 52.5006737)
"462","Nightclub: Void","nightlife",c(13.4758087, 52.5075429)
"463","Nightclub: Top Disco Berlin","nightlife",c(13.4835308, 52.4260205)
"464","Nightclub: M-BIA","nightlife",c(13.4092179, 52.5226335)
"465","Nightclub: ABC Rocks","nightlife",c(13.597072, 52.4559805)
"466","Nightclub: ACUD","nightlife",c(13.4008094, 52.5335177)
"467","Nightclub: Adagio","nightlife",c(13.3718571, 52.5075016)
"468","Nightclub: American Western Saloon","nightlife",c(13.3526876, 52.5975687)
"469","Nightclub: The Paris","nightlife",c(13.3201923, 52.4995993)
"470","Nightclub: Pussy Cat","nightlife",c(13.3479726, 52.4987104)
"471","Nightclub: Trompete","nightlife",c(13.3534385, 52.5044307)
"472","Nightclub: Ipse","nightlife",c(13.4510911, 52.4975889)
"473","Nightclub: Culture Container","nightlife",c(13.4277509, 52.5110892)
"474","Nightclub: A-Trane","nightlife",c(13.3201159, 52.5073575)
"475","Nightclub: SO36","nightlife",c(13.4221612, 52.5003909)
"476","Nightclub: Queen Qotti","nightlife",c(13.4176547, 52.4999219)
"477","Nightclub: Stella Berlin","nightlife",c(13.4442907, 52.4613006)
"478","Nightclub: 8MM","nightlife",c(13.4115684, 52.5312243)
"479","Nightclub: Beate Uwe","nightlife",c(13.419024, 52.5174812)
"480","Nightclub: MiSalsa","nightlife",c(13.305791, 52.5172277)
"481","Nightclub: Festsaal der Villa Kreuzberg","nightlife",c(13.3803809, 52.4893117)
"482","Nightclub: Cake Club","nightlife",c(13.4204411, 52.4966889)
"483","Nightclub: Keller","nightlife",c(13.4311707, 52.4827202)
"484","Nightclub: Anita Berber","nightlife",c(13.3736258, 52.5453211)
"485","Nightclub: KISS Lounge","nightlife",c(13.5048839, 52.564751)
"486","Nightclub: Vitrin","nightlife",c(13.327462, 52.5046309)
"487","Nightclub: Geheimclub (Annika von Trier)","nightlife",c(13.3908678, 52.5267961)
"488","Nightclub: Else","nightlife",c(13.4625984, 52.4951405)
"489","Nightclub: Promenadeneck","nightlife",c(13.4220625, 52.4757449)
"490","Nightclub: Tresor Berlin","nightlife",c(13.4200412, 52.5107003)
"491","Nightclub: BlackWhite Danceclub","nightlife",c(13.4615989, 52.4322129)
"492","Nightclub: Weisse Hase","nightlife",c(13.4545322, 52.5075831)
"493","Nightclub: Internet Explorer","nightlife",c(13.4598687, 52.4764177)
"494","Nightclub: Loftus Hall","nightlife",c(13.4363447, 52.4903952)
"495","Nightclub: Chesters","nightlife",c(13.4376707, 52.4948694)
"496","Nightclub: Burg Schnabel","nightlife",c(13.4496246, 52.497568)
"497","Nightclub: Sophienclub","nightlife",c(13.4019702, 52.5251622)
"498","Nightclub: Loophole","nightlife",c(13.4330336, 52.4806929)
"499","Nightclub: ://about blank","nightlife",c(13.466302, 52.5024767)
"500","Nightclub: KTV Bar","nightlife",c(13.3099366, 52.5063423)
"501","Nightclub: Ava Club","nightlife",c(13.4473676, 52.503035)
"502","Nightclub: al2 eventlocation berlin","nightlife",c(13.3230448, 52.4989003)
"503","Nightclub: Berghain","nightlife",c(13.4430356, 52.5111669)
"504","Nightclub: Musikbrauerei","nightlife",c(13.4286665, 52.5306542)
"505","Nightclub: Trauma Bar und Kino","nightlife",c(13.3667562, 52.5306327)
"506","Nightclub: New West Club","nightlife",c(13.3153141, 52.5060456)
"507","Nightclub: Cosmic Kaspar","nightlife",c(13.4006925, 52.5299774)
"508","Nightclub: Ballhaus Spandau","nightlife",c(13.2107129, 52.5227525)
"509","Nightclub: Moka Efti Bar","nightlife",c(13.398307, 52.5222381)
"510","Nightclub: Teledisko","nightlife",c(13.3660137, 52.5032267)
"511","Nightclub: OST","nightlife",c(13.4650321, 52.4970681)
"512","Nightclub: Gedenktafel Erwin Piscator","nightlife",c(13.3525025, 52.4990686)
"513","Nightclub: Columbia Theater","nightlife",c(13.391457849793, 52.4847296189467)
"514","Nightclub: Roadrunners Rock & Motor Club","nightlife",c(13.4123290618872, 52.5296946403508)
"515","Nightclub: Pirates Berlin Club (Speicher)","nightlife",c(13.445288329765, 52.502746993625)
"516","Nightclub: Werk9","nightlife",c(13.3943535228488, 52.5091220248006)
"517","Nightclub: Pride Warehouse","nightlife",c(13.4632853300144, 52.5123096258072)
"518","Nightclub: Gretchen","nightlife",c(13.3875438273394, 52.4960414794804)
"519","Nightclub: Duncker","nightlife",c(13.4237129673648, 52.5462008292113)
"520","Nightclub: yaam","nightlife",c(13.4306849856665, 52.5092059138144)
"521","Nightclub: Rummelsburg","nightlife",c(13.4974671485029, 52.4822917293338)
"522","Nightclub: Umspannwerk Alexanderplatz","nightlife",c(13.4149142457588, 52.5178183078551)
"523","Nightclub: Suicide Circus","nightlife",c(13.4510804219727, 52.5071757125873)
"524","Nightclub: Astra Kulturhaus","nightlife",c(13.4518399826649, 52.5072808848585)
"525","Nightclub: Empire","nightlife",c(13.3118570074148, 52.4802160983262)
"526","Nightclub: Werkstatt der Kulturen","nightlife",c(13.4226865582078, 52.48383399047)
"527","Nightclub: Prestige","nightlife",c(13.3871931895871, 52.494622783604)
"528","Nightclub: H.O.F.23","nightlife",c(13.4450283381803, 52.5506696053281)
"529","Nightclub: MS Hoppetosse","nightlife",c(13.4547057962533, 52.4975216754417)
"530","Nightclub: Panke","nightlife",c(13.3742234333672, 52.5450005379458)
"531","Nightclub: Badehaus Szimpla","nightlife",c(13.4551480411642, 52.5075772294613)
"532","Nightclub: Prägewerk","nightlife",c(13.4086765238567, 52.515301351534)
"533","Nightclub: Marie Antoinette","nightlife",c(13.4227766479355, 52.5130236830982)
"534","Nightclub: Hangar 49","nightlife",c(13.4223579828005, 52.513193752979)
"535","Nightclub: Sisyphos","nightlife",c(13.4918144844832, 52.4933060386732)
"536","Nightclub: Ballhaus Mitte","nightlife",c(13.3959181355637, 52.5320388780813)
"537","Nightclub: Jugendschiff ""ReMiLi""","nightlife",c(13.5174966173385, 52.4580060317222)
"538","Nightclub: Fiese Remise","nightlife",c(13.4323083630356, 52.5058734925121)
"539","Nightclub: Frannz","nightlife",c(13.4128065606619, 52.5383144594526)
"540","Nightclub: Festsaal Kreuzberg","nightlife",c(13.4515712258866, 52.4968381730018)
"541","Nightclub: Berghain Kantine","nightlife",c(13.4424664445948, 52.5115251071427)
"542","Nightclub: Le Chalet","nightlife",c(13.4495081028307, 52.4973032419961)
"543","Nightclub: Kater Blau","nightlife",c(13.4253497931045, 52.5119312313755)
"544","Nightclub: Mensch Meier","nightlife",c(13.4524503226578, 52.5351721310388)
"545","Nightclub: Haubentaucher","nightlife",c(13.4527369345584, 52.5072018113159)
"546","Nightclub: OXI Garten","nightlife",c(13.4749343209601, 52.5075938611232)
"547","Nightclub: Metropol","nightlife",c(13.3527059998027, 52.4989470401566)
"548","Nightclub: Cassiopeia","nightlife",c(13.4547879073019, 52.5072486953748)
"549","Nightclub: Spindler & Klatt","nightlife",c(13.4346286519119, 52.5057562817344)
"550","Bar: Albert's","nightlife",c(13.328849, 52.56382)
"551","Bar: Newton Bar","nightlife",c(13.3912298, 52.5129305)
"552","Bar: No Limit Shishabar","nightlife",c(13.3209279, 52.5655612)
"553","Bar: en passant","nightlife",c(13.4129805, 52.5442039)
"554","Bar: Z-Bar","nightlife",c(13.3956385, 52.5295259)
"555","Bar: Immertreu","nightlife",c(13.425073, 52.5363657)
"556","Bar: Café Nostalgie","nightlife",c(13.361927, 52.4882652)
"557","Bar: Schloss Neuschweinsteiger","nightlife",c(13.4354663, 52.4689788)
"558","Bar: Keyif","nightlife",c(13.4613169, 52.5120463)
"559","Bar: Himmelreich","nightlife",c(13.4566212, 52.5102582)
"560","Bar: Radio","nightlife",c(13.4591706, 52.5158118)
"561","Bar: Lauschangriff","nightlife",c(13.4553049, 52.5182491)
"562","Bar: Charlotte","nightlife",c(13.2022687, 52.5372124)
"563","Bar: booze bar berlin","nightlife",c(13.458706, 52.5127422)
"564","Bar: Billardsalon Köh","nightlife",c(13.4018544, 52.5252025)
"565","Bar: Room 77","nightlife",c(13.4179531, 52.493019)
"566","Bar: Empire Lounge Shisha-Bar","nightlife",c(13.3323282, 52.5240722)
"567","Bar: Deck 5","nightlife",c(13.4164647, 52.5493859)
"568","Bar: macke prinz","nightlife",c(13.404733, 52.534462)
"569","Bar: Süß war gestern","nightlife",c(13.4610994, 52.5086027)
"570","Bar: Vincent Piano Bar","nightlife",c(13.38609, 52.5215879)
"571","Bar: Sausalitos","nightlife",c(13.3886693, 52.5261784)
"572","Bar: Bar Voyage","nightlife",c(13.3563167, 52.4979572)
"573","Bar: Monster Ronson's Ichiban Karaoke","nightlife",c(13.448422, 52.5051922)
"574","Bar: Bar 23","nightlife",c(13.4159646, 52.5425046)
"575","Bar: X-Bar","nightlife",c(13.4219013, 52.5415754)
"576","Bar: Dirty Velvet Drinkery","nightlife",c(13.417339, 52.5437162)
"577","Bar: bei Mo","nightlife",c(13.3086932, 52.5004219)
"578","Bar: Kaffee Burger","nightlife",c(13.4086025, 52.528762)
"579","Bar: Stereo 33","nightlife",c(13.4598398, 52.5101616)
"580","Bar: Palm Beach","nightlife",c(13.404595, 52.5205872)
"581","Bar: Huttenklause","nightlife",c(13.318287, 52.5287452)
"582","Bar: La Vida Bar","nightlife",c(13.4555497, 52.473834)
"583","Bar: Rauschecafe","nightlife",c(13.4434357, 52.4704823)
"584","Bar: Metropol","nightlife",c(13.3834613, 52.4564738)
"585","Bar: By Cengiz","nightlife",c(13.4411312, 52.4712939)
"586","Bar: Roter Rabe","nightlife",c(13.4193348, 52.4965814)
"587","Bar: Jokers Bar","nightlife",c(13.4125434, 52.5679576)
"588","Bar: Aquila Cafe Cocktailbar","nightlife",c(13.5100245, 52.5509168)
"589","Bar: Society","nightlife",c(13.6040719, 52.5380648)
"590","Bar: Conmux Blechbilderbar","nightlife",c(13.4564546, 52.5099802)
"591","Bar: Escobar","nightlife",c(13.4538746, 52.4974062)
"592","Bar: Country Cheers","nightlife",c(13.4322518, 52.5184638)
"593","Bar: Zart","nightlife",c(13.4250735, 52.4943163)
"594","Bar: Yolanda","nightlife",c(13.4228267, 52.5419559)
"595","Bar: Cafe Boss Lounge","nightlife",c(13.4322642, 52.4700118)
"596","Bar: Trude, Ruth und Goldammer","nightlife",c(13.4279168, 52.4812916)
"597","Bar: Monterey Bar","nightlife",c(13.4225656, 52.5396828)
"598","Bar: Bar Misirlou","nightlife",c(13.4208673, 52.5423488)
"599","Bar: Liberda","nightlife",c(13.4287957, 52.4915467)
"600","Bar: Freya Fuchs","nightlife",c(13.3567093, 52.5419903)
"601","Bar: meliá tapas","nightlife",c(13.3883069, 52.5216924)
"602","Bar: The Double Inn","nightlife",c(13.5120508, 52.4617978)
"603","Bar: Celo Privat Bar","nightlife",c(13.4295997, 52.4946075)
"604","Bar: Tante Grete","nightlife",c(13.4165427, 52.5469427)
"605","Bar: Marietta","nightlife",c(13.4174011, 52.5466417)
"606","Bar: Crossroads","nightlife",c(13.4155164, 52.5442189)
"607","Bar: slumberland","nightlife",c(13.3537835, 52.4968247)
"608","Bar: Froschkönig, Literatur- & Pianobar","nightlife",c(13.423932, 52.4768748)
"609","Bar: Steinpilz","nightlife",c(13.4020346, 52.4136401)
"610","Bar: Höschen","nightlife",c(13.4208161, 52.5422868)
"611","Bar: Vostok","nightlife",c(13.4118086, 52.5521582)
"612","Bar: Hurghada Café & Cocktailbar","nightlife",c(13.3441499, 52.5040908)
"613","Bar: gainsbourg bar américain","nightlife",c(13.3250472, 52.5046693)
"614","Bar: Posh Bar","nightlife",c(13.3730354, 52.5086655)
"615","Bar: Mein Haus am See","nightlife",c(13.4008182, 52.529979)
"616","Bar: Cocktailbar Zeitlos","nightlife",c(13.3288154, 52.5197861)
"617","Bar: Mons Vinum Weinhandel","nightlife",c(13.2925233, 52.4744332)
"618","Bar: Hürrem Sultan","nightlife",c(13.412501, 52.5032655)
"619","Bar: Rhinoçéros","nightlife",c(13.4100163, 52.5480384)
"620","Bar: Taproom","nightlife",c(13.4024016, 52.5308057)
"621","Bar: Cesa One","nightlife",c(13.2934077, 52.4463792)
"622","Bar: Zeroliq","nightlife",c(13.4589947, 52.5126863)
"623","Bar: AVCI Cocktail-Bar","nightlife",c(13.4961187, 52.5067062)
"624","Bar: Krüger","nightlife",c(13.4167236, 52.5427965)
"625","Bar: Bahamas","nightlife",c(13.414434, 52.5427083)
"626","Bar: Mauritius","nightlife",c(13.4798786, 52.5082327)
"627","Bar: PL Bar","nightlife",c(13.3783922, 52.550619)
"628","Bar: Cafe Ortak","nightlife",c(13.3787387, 52.5503873)
"629","Bar: Manico","nightlife",c(13.2991379, 52.47342)
"630","Bar: Cocktailbar","nightlife",c(13.5434382, 52.5237697)
"631","Bar: Paka Club","nightlife",c(13.3693646, 52.5439723)
"632","Bar: Absinth-Druide","nightlife",c(13.412569, 52.5398231)
"633","Bar: ada","nightlife",c(13.4298759, 52.4881477)
"634","Bar: Babylon Café Bar","nightlife",c(13.3988194, 52.5802548)
"635","Bar: Tipsy Bear","nightlife",c(13.4106052, 52.5410133)
"636","Bar: L.U.X","nightlife",c(13.4437298, 52.5004147)
"637","Bar: Freibeuter","nightlife",c(13.4633487, 52.5161739)
"638","Bar: Topgoal","nightlife",c(13.3632135, 52.5665575)
"639","Bar: Café Soylent","nightlife",c(13.4582298, 52.5098606)
"640","Bar: Vulcano Bar","nightlife",c(13.46654, 52.518836)
"641","Bar: Hausbar","nightlife",c(13.418985, 52.5348771)
"642","Bar: Rote Harfe","nightlife",c(13.4236235, 52.5002711)
"643","Bar: strand litz","nightlife",c(13.327167, 52.4643771)
"644","Bar: 9:00 pm","nightlife",c(13.3444743, 52.5060947)
"645","Bar: Bar Europa","nightlife",c(13.3350656, 52.4997225)
"646","Bar: EscoBar","nightlife",c(13.4554261, 52.5121135)
"647","Bar: eleven n lounge","nightlife",c(13.4564219, 52.5116806)
"648","Bar: Barlou","nightlife",c(13.4584138, 52.5109445)
"649","Bar: Kaduka","nightlife",c(13.430053, 52.4880862)
"650","Bar: Zu mir oder zu dir","nightlife",c(13.4153603, 52.5419558)
"651","Bar: erika & hilde","nightlife",c(13.4422135, 52.4856903)
"652","Bar: Dalya","nightlife",c(13.2938196, 52.5123859)
"653","Bar: Pan Am Lounge Berlin","nightlife",c(13.3395456, 52.5049884)
"654","Bar: Lola's","nightlife",c(13.3909131, 52.525821)
"655","Bar: abgedreht","nightlife",c(13.4523474, 52.5157163)
"656","Bar: Breipott","nightlife",c(13.4661181, 52.5082585)
"657","Bar: Schlesisch Blau","nightlife",c(13.4414603, 52.5015464)
"658","Bar: Frannz Club","nightlife",c(13.4126884, 52.5382108)
"659","Bar: Piccolo Royal","nightlife",c(13.2905956, 52.498238)
"660","Bar: Taloon Bar","nightlife",c(13.3401829, 52.4435741)
"661","Bar: Kapitalist","nightlife",c(13.411404, 52.538122)
"662","Bar: Mysliwska","nightlife",c(13.44534, 52.4994811)
"663","Bar: Sonntags-Club","nightlife",c(13.4187111, 52.5513414)
"664","Bar: Nathanja & Heinrich","nightlife",c(13.4367417, 52.4874088)
"665","Bar: La Buvette","nightlife",c(13.409139, 52.5474549)
"666","Bar: Mario´s Pub","nightlife",c(13.2624513, 52.4108264)
"667","Bar: Hackbarths","nightlife",c(13.4007418, 52.5278237)
"668","Bar: Qum Bar","nightlife",c(13.4154684, 52.5403024)
"669","Bar: maigold","nightlife",c(13.3525407, 52.4881653)
"670","Bar: Stern-Cafe Shisha Lounge Bar","nightlife",c(13.5916156, 52.5216538)
"671","Bar: K-King Karaoke","nightlife",c(13.3134145, 52.5055359)
"672","Bar: Broschek","nightlife",c(13.4329483, 52.4840568)
"673","Bar: Bellini Lounge","nightlife",c(13.3906088, 52.5257247)
"674","Bar: X-Terrain","nightlife",c(13.3910972, 52.5255838)
"675","Bar: Silberfisch","nightlife",c(13.3919367, 52.5253598)
"676","Bar: Nara","nightlife",c(13.3912391, 52.5255577)
"677","Bar: Gold Bar/Club","nightlife",c(13.391823, 52.5253841)
"678","Bar: Primitiv Bar","nightlife",c(13.4557684, 52.5085895)
"679","Bar: Pavlov's Bar","nightlife",c(13.3751277, 52.4875802)
"680","Bar: Tarikatite Cocktailbar","nightlife",c(13.3678933, 52.5512616)
"681","Bar: Neue Odessa Bar","nightlife",c(13.4056757, 52.529697)
"682","Bar: C&B Cafe & Bar","nightlife",c(13.4983171, 52.5097357)
"683","Bar: Alles GuT","nightlife",c(13.2940659, 52.5119146)
"684","Bar: Saigon","nightlife",c(13.3996257, 52.511429)
"685","Bar: Sorsi e Morsi","nightlife",c(13.4247381, 52.5345435)
"686","Bar: Hintersee","nightlife",c(13.4151586, 52.5476601)
"687","Bar: Stahlrohr 2.0","nightlife",c(13.4134449, 52.5520168)
"688","Bar: Moto","nightlife",c(13.4127679, 52.5520795)
"689","Bar: 2 Welten","nightlife",c(13.3623388, 52.5427982)
"690","Bar: Minibar","nightlife",c(13.4178899, 52.4929399)
"691","Bar: RFT Bar","nightlife",c(13.6274483, 52.4474716)
"692","Bar: Betty F***","nightlife",c(13.4052143, 52.5275404)
"693","Bar: Greentree","nightlife",c(13.2694085, 52.5094349)
"694","Bar: Greifbar","nightlife",c(13.4173106, 52.5496846)
"695","Bar: Caffe Sammbuca Sportbar","nightlife",c(13.4907369, 52.5150468)
"696","Bar: Feger","nightlife",c(13.4206261, 52.5008108)
"697","Bar: Reingold","nightlife",c(13.3882109, 52.528723)
"698","Bar: Divabar","nightlife",c(13.452709, 52.5230477)
"699","Bar: Empor Sportsbar","nightlife",c(13.4109583, 52.5452385)
"700","Bar: Volksbar","nightlife",c(13.4106922, 52.5266786)
"701","Bar: ČSA","nightlife",c(13.44235, 52.5166757)
"702","Bar: Punta Sportsbar","nightlife",c(13.3310762, 52.4637913)
"703","Bar: Sun de Palma","nightlife",c(13.4347354, 52.5372259)
"704","Bar: Rivabar","nightlife",c(13.4047128, 52.5233005)
"705","Bar: Good Things","nightlife",c(13.4320143, 52.5016252)
"706","Bar: Casablanca","nightlife",c(13.2597133, 52.4348935)
"707","Bar: Atelier","nightlife",c(13.2926578, 52.4979205)
"708","Bar: Rodi Cocktailbar","nightlife",c(13.4187906, 52.5158643)
"709","Bar: Lale","nightlife",c(13.3451068, 52.5540937)
"710","Bar: Triple xXx","nightlife",c(13.3799588, 52.4656745)
"711","Bar: Bar Tausend","nightlife",c(13.3847097, 52.5208236)
"712","Bar: Zaffke","nightlife",c(13.3499961, 52.5335484)
